bet_type,game_date,home_team,away_team,pick,odds,line,model_prob,market_prob,edge,edge_pct,kelly,confidence,recommended
MONEYLINE,2026-04-18,CLE,TOR,TOR,280,+280,0.3636,0.2632,0.1004,10.0%,0.1363,MEDIUM,True
MONEYLINE,2026-04-18,LAL,HOU,LAL,170,+170,0.4028,0.3704,0.0324,3.2%,0.0515,NO PLAY,False
MONEYLINE,2026-04-18,NYK,ATL,ATL,190,+190,0.3475,0.3448,0.0027,0.3%,0.0041,NO PLAY,False
MONEYLINE,2026-04-18,DEN,MIN,MIN,230,+230,0.1757,0.303,-0.1274,-12.7%,0.0,NO PLAY,False
SPREAD,2026-04-18,LAL,HOU,LAL,-110,+5.0,0.406,0.5,-0.094,-9.4%,0.0948,NO PLAY,False
SPREAD,2026-04-18,CLE,TOR,TOR,-110,+8.0,0.3355,0.5,-0.1645,-16.5%,0.0,NO PLAY,False
SPREAD,2026-04-18,NYK,ATL,ATL,-110,+5.5,0.3031,0.5,-0.1969,-19.7%,0.0,NO PLAY,False
SPREAD,2026-04-18,DEN,MIN,MIN,-110,+6.5,0.213,0.5,-0.287,-28.7%,0.0,NO PLAY,False
TOTAL,2026-04-18,CLE,TOR,OVER,-110,221.0,0.8342,0.5,0.3342,33.4%,0.7473,HIGH,True
TOTAL,2026-04-18,LAL,HOU,OVER,-110,208.5,0.8271,0.5,0.3271,32.7%,0.7365,HIGH,True
TOTAL,2026-04-18,DEN,MIN,OVER,-110,232.0,0.7782,0.5,0.2782,27.8%,0.662,HIGH,False
TOTAL,2026-04-18,NYK,ATL,OVER,-110,217.5,0.7764,0.5,0.2764,27.6%,0.6592,HIGH,False
